Country,Region,Happiness Rank 2015,Happiness Score 2015,Standard Error,Economy (GDP per Capita) 2015,Family 2015,Health (Life Expectancy) 2015,Freedom 2015,Trust (Government Corruption) 2015,Generosity 2015,Dystopia Residual 2015,Year 2015,Happiness Rank 2016,Happiness Score 2016,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita) 2016,Family 2016,Health (Life Expectancy) 2016,Freedom 2016,Trust (Government Corruption) 2016,Generosity 2016,Dystopia Residual 2016,Year 2016,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Year
Algeria,Middle East and Northern Africa,68.0,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.1738299999999999,0.07822,2.43209,2015.0,38.0,6.355,6.227,6.483,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,3.40904,2016.0,53.0,5.872000217437741,5.978286433666941,5.76571400120854,1.09186446666718,1.1462174654007,0.6175846457481379,0.233335807919502,0.069436646997929,0.146096110343933,2.5676038265228303,2017.0
Kosovo,Central and Eastern Europe,69.0,5.589,0.05018,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,2015.0,77.0,5.401,5.308,5.494,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016.0,78.0,5.27899980545044,5.36484799548984,5.19315161541104,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.319931447505951,0.057471618056297,2.01054072380066,2017.0
Turkmenistan,Central and Eastern Europe,70.0,5.547999999999999,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,2015.0,65.0,5.658,5.58,5.736000000000001,1.08017,1.03817,0.44006,0.37408,0.28467,0.2256699999999999,2.21489,2016.0,59.0,5.82200002670288,5.885180875509981,5.758819177895781,1.1307767629623402,1.49314916133881,0.437726080417633,0.41827192902565,0.2499249875545499,0.2592703402042389,1.83290982246399,2017.0
Mauritius,Sub-Saharan Africa,71.0,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015.0,66.0,5.648,5.507000000000001,5.789,1.14372,0.75695,0.66189,0.46145,0.0520299999999999,0.36951,2.20223,2016.0,64.0,5.62900018692017,5.72986219167709,5.528138182163239,1.18939554691315,1.20956099033356,0.6380074620246889,0.491247326135635,0.360933750867844,0.042181555181742,1.6975839138031,2017.0
Hong Kong,Eastern Asia,72.0,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.6542899999999999,2015.0,75.0,5.457999999999999,5.362,5.553999999999999,1.5107,0.87021,0.95277,0.4807899999999999,0.31647,0.40097,0.92614,2016.0,71.0,5.47200012207031,5.54959417313337,5.394406071007251,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.2939337491989139,0.554633140563965,2017.0
Estonia,Central and Eastern Europe,73.0,5.428999999999999,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015.0,72.0,5.517,5.437,5.597,1.27964,1.0516299999999998,0.68098,0.41511,0.18519,0.08423,1.81985,2016.0,66.0,5.61100006103516,5.68813987419009,5.533860247880219,1.3208793401718102,1.47667109966278,0.695168316364288,0.479131430387497,0.09889081120491,0.183248922228813,1.35750865936279,2017.0
Indonesia,Southeastern Asia,74.0,5.399,0.02596,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,2015.0,79.0,5.314,5.237,5.391,0.95104,0.87625,0.4937399999999999,0.39237,0.00322,0.56521,2.03171,2016.0,81.0,5.26200008392334,5.35288859814405,5.17111156970263,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904769,1.42947697639465,2017.0
Vietnam,Southeastern Asia,75.0,5.36,0.03107,0.63216,0.91226,0.7467600000000001,0.59444,0.1044099999999999,0.1686,2.20173,2015.0,96.0,5.061,4.9910000000000005,5.131,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,2016.0,94.0,5.07399988174438,5.14728076457977,5.000718998909,0.7885475754737851,1.27749133110046,0.6521689891815191,0.571055591106415,0.2349680513143539,0.087633237242699,1.46231865882874,2017.0
Turkey,Middle East and Northern Africa,76.0,5.332000000000001,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015.0,78.0,5.388999999999999,5.295,5.483,1.1649200000000002,0.8771700000000001,0.64718,0.23889,0.1234799999999999,0.04707,2.29074,2016.0,69.0,5.5,5.59486496329308,5.40513503670692,1.1982743740081798,1.33775317668915,0.6376056075096129,0.300740599632263,0.046693041920662,0.099671579897404,1.87927794456482,2017.0
Kyrgyzstan,Central and Eastern Europe,77.0,5.2860000000000005,0.03823,0.47428,1.15115,0.65088,0.43477,0.0423199999999999,0.3003,2.2327,2015.0,85.0,5.185,5.103,5.267,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.0476199999999999,0.38432,2.28136,2016.0,98.0,5.0040001869201705,5.089919903129339,4.918080470710991,0.5962200760841371,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.039439179003239,1.53672313690186,2017.0
Nigeria,Sub-Saharan Africa,78.0,5.268,0.04192,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2015.0,103.0,4.875,4.75,5.0,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2016.0,95.0,5.07399988174438,5.209500135481361,4.93849962800741,0.783756256103516,1.21577048301697,0.056915730237961,0.394952565431595,0.2309471964836119,0.026121566072106,2.36539053916931,2017.0
